Adana
Adýyaman
Afyonkarahisar
Aðrý
Aksaray
Amasya
Ankara
Antalya
Ardahan
Artvin
Aydýn
Balýkesir
Bartýn
Batman
Bayburt
Bilecik
Bingöl
Bitlis
Bolu
Burdur
Bursa
Çanakkale
Çankýrý
Çorum
Denizli
Diyarbakýr
Düzce
Edirne
Elazýð
Erzincan
Erzurum
Eskiþehir
Gaziantep
Giresun
Gümüþhane
Hakkari
Hatay
Iðdýr
Isparta
Ýstanbul
Ýzmir
Kahramanmaraþ
Karabük
Karaman
Kars
Kastamonu
Kayseri
Kýrýkkale
Kýrklareli
Kýrþehir
Kilis
Kocaeli
Konya
Kütahya
Malatya
Manisa
Mardin
Mersin
Muðla
Muþ
Nevþehir
Niðde
Ordu
Osmaniye
Rize
Sakarya
Samsun
Siirt
Sinop
Sivas
Þanlýurfa
Þýrnak
Tekirdað
Tokat
Trabzon
Tunceli
Uþak
Van
Yalova
Yozgat
Zonguldak
